       x_Spain          y_Spain          g_linear       
       8.1501793        3.6888795        3.6562630 
       8.2401213        3.6888795        3.7367745 
       8.3199610        3.7841896        3.8082429 
       8.3104150        3.8066625        3.7996978 
       8.3728608        3.8286414        3.8555960 
       8.3988600        3.8286414        3.8788692 
       8.4698919        3.8501476        3.9424532 
       8.4969905        3.9889840        3.9667105 
       8.5517878        4.0775374        4.0157622 
       8.5340503        4.0073332        3.9998845 
       8.5245659        3.9512437        3.9913946 
       8.6281977        4.0253517        4.0841604 
       8.7132533        4.1108739        4.1602977 
       8.8007166        4.0775374        4.2385904 
       8.8457773        4.1431347        4.2789263 
       8.9119343        4.2195077        4.3381467 
       8.9722101        4.2904594        4.3921024 
       9.0137170        4.3820266        4.4292573 
       9.0602149        4.4773368        4.4708798 
       9.1385221        4.4659081        4.5409763 
       9.1602043        4.6249728        4.5603851 
       9.1996838        4.7095302        4.5957251 
       9.2869310        4.8040210        4.6738243 
       9.3620309        4.8598124        4.7410498 
       9.4244835        4.9558271        4.7969542 
       9.4431174        4.9904326        4.8136342 
       9.4767733        5.0625950        4.8437612 
       9.4986722        5.0369526        4.8633641 
       9.5158378        5.0498560        4.8787298 
       9.5237633        5.0562458        4.8858243 
       9.5473839        5.0998664        4.9069682 
       9.5392843        5.0625950        4.8997179 
       9.5500217        5.0689042        4.9093295 
       9.5635995        5.0369526        4.9214836 
       9.5685741        5.0106353        4.9259366 
       9.5949223        5.0172798        4.9495221 
       9.6314820        4.9628446        4.9822484 
       9.6969553        4.9628446        5.0408568 
       9.7568420        4.9972123        5.0944642 
       9.8178752        5.1179938        5.1490980 
       9.8634465        5.0814044        5.1898911 
       9.9013883        5.1119878        5.2238546 
       9.9198120        5.1416636        5.2403465 
       9.9063105        5.0814044        5.2282607 
       9.9366299        5.1357984        5.2554011 
       9.9768354        5.1647860        5.2913910 
       10.007175        5.1298987        5.3185491 
       10.048177        5.2040067        5.3552524 
       10.097608        5.2364420        5.3995007 
       10.148375        5.3033049        5.4449439 
       10.203402        5.3327188        5.4942014 
       10.245429        5.3327188        5.5318219 
       10.266509        5.7300998        5.5506914 
       10.287793        5.7333413        5.5697436 
       10.311885        5.7620514        5.5913098 
       10.338045        5.7776523        5.6147274 
       10.370594        5.7620514        5.6438632 
       10.396213        5.7683210        5.6667963 
       10.399534        5.3278762        5.6697691 

