       x_France         y_France         g_quadratic
       9.0199060        4.9416424        4.7248260 
       9.0716529        5.0498560        4.8396066 
       9.0903173        5.0369526        4.8791648 
       9.1116244        4.9767337        4.9231302 
       9.1514393        5.0172798        5.0018746 
       9.1983690        5.0625950        5.0889853 
       9.2377610        5.1647860        5.1573390 
       9.2853551        5.1873858        5.2341231 
       9.2989921        5.1416636        5.2549537 
       9.3168602        5.1119878        5.2814583 
       9.3751766        5.1357984        5.3617355 
       9.4175171        5.1590553        5.4140478 
       9.4617992        5.2040067        5.4633833 
       9.4977724        5.2933048        5.4994156 
       9.5508758        5.3132060        5.5459771 
       9.5893931        5.3230100        5.5748037 
       9.6299056        5.2983174        5.6006366 
       9.6672588        5.7203118        5.6203787 
       9.7029002        5.7397929        5.6355701 
       9.7614631        5.7838252        5.6527997 
       9.8084623        5.8200829        5.6596741 
       9.8459114        5.8493248        5.6607196 
       9.8806794        5.8721178        5.6581715 
       9.9252980        5.9188939        5.6499372 
       9.9476001        5.8888780        5.6437298 
       9.9356159        5.8051350        5.6472387 
       9.9741790        5.8888780        5.6345113 
       10.006811        5.8493248        5.6204855 
       10.030032        5.8833224        5.6086870 
       10.057324        5.9135030        5.5928883 
       10.066329        5.8777358        5.5872173 
       10.071330        5.7990927        5.5839699 
       10.090797        5.7683210        5.5706610 
       10.098232        5.7430032        5.5652976 
       10.107204        5.7104270        5.5586192 
       10.116783        5.3278762        5.5512397 
       10.136106        5.2832037        5.5355711 
       10.156423        5.2574954        5.5179681 
       10.194776        5.2417470        5.4815850 
       10.224701        5.2832037        5.4503329 
       10.244556        5.2417470        5.4282122 
       10.250414        5.2729996        5.4214747 
       10.261854        5.2040067        5.4080401 
       10.251894        5.1873858        5.4197577 
       10.271873        5.1239640        5.3959731 
       10.289391        5.1532916        5.3741969 
       10.300135        5.2149358        5.3604161 
       10.320282        5.1474945        5.3337032 
       10.352110        5.2149358        5.2891820 
       10.382346        5.1873858        5.2442592 
       10.416601        5.1647860        5.1902685 
       10.431763        5.1984970        5.1653211 
       10.438599        5.1873858        5.1538622 
       10.442668        5.1929569        5.1469793 
       10.465780        5.1984970        5.1070044 
       10.477160        5.1929569        5.0867719 
       10.495879        5.1647860        5.0527012 
       10.514494        5.1357984        5.0178464 
       10.512214        5.1239640        5.0221667 
